Date,AMZNAdjCloseAMZN,AMZNVolumeAMZN,ACNAdjCloseACN,ACNVolumeACN,NVDAAdjCloseNVDA,NVDAVolumeNVDA,AAPLAdjCloseAAPL,AAPLVolumeAAPL,GOOGLAdjCloseGOOGL,GOOGLVolumeGOOGL
2024-02-08 00:00:00+00:00,169.83999633789062,42316500,363.9745178222656,1679800,69.62605285644531,414422000,187.6081085205078,40962000,145.5496063232422,22563800
2024-02-09 00:00:00+00:00,174.4499969482422,56986000,367.1255187988281,1482600,72.11751556396484,436637000,188.37615966796875,45155200,148.63197326660156,26829500
2024-02-12 00:00:00+00:00,172.33999633789062,51050400,362.93731689453125,1325000,72.23249816894531,613710000,186.680419921875,41781900,147.16558837890625,21564100
2024-02-13 00:00:00+00:00,168.63999938964844,56345100,358.37384033203125,1696900,72.1125259399414,602580000,184.57571411132812,56529500,144.781494140625,27837700
2024-02-14 00:00:00+00:00,170.97999572753906,42815500,366.4439392089844,2114600,73.88414764404297,504917000,183.6879425048828,54630500,145.57952880859375,22704200
2024-02-15 00:00:00+00:00,169.8000030517578,49855200,366.96746826171875,2358800,72.64241027832031,420122000,183.398681640625,65434500,142.4173583984375,37590700
2024-02-16 00:00:00+00:00,169.50999450683594,48074600,364.9622802734375,2410200,72.59741973876953,495327000,181.85255432128906,49701400,140.17291259765625,31451100
2024-02-20 00:00:00+00:00,167.0800018310547,41980300,358.5121154785156,1631000,69.43709564208984,704833000,181.1044464111328,53665600,140.77142333984375,25144700
2024-02-21 00:00:00+00:00,168.58999633789062,44575600,356.4970397949219,1758000,67.45752716064453,690298000,181.862548828125,41529700,142.19789123535156,23315700
2024-02-22 00:00:00+00:00,174.5800018310547,55392400,366.7698974609375,1614600,78.52115631103516,865100000,183.90737915039062,52292200,143.7340850830078,27191900
2024-02-23 00:00:00+00:00,174.99000549316406,59715200,372.7064208984375,1614500,78.80009460449219,829388000,182.0620574951172,45119700,143.6044158935547,19493800
2024-02-26 00:00:00+00:00,174.72999572753906,44368600,372.86444091796875,1455000,79.07503509521484,503973000,180.70545959472656,40867400,137.23020935058594,53641800
2024-02-27 00:00:00+00:00,173.5399932861328,31141700,373.2891845703125,1083200,78.68411254882812,391705000,182.17176818847656,54318900,138.53695678710938,33099200
