Date,AMZNAdjCloseAMZN,ACNAdjCloseACN,NVDAAdjCloseNVDA,AAPLAdjCloseAAPL,GOOGLAdjCloseGOOGL,AMZNVolumeAMZN,ACNVolumeACN,NVDAVolumeNVDA,AAPLVolumeAAPL,GOOGLVolumeGOOGL,AMZNpct_closeAMZN,ACNpct_closeACN,NVDApct_closeNVDA,AAPLpct_closeAAPL,GOOGLpct_closeGOOGL,AMZNMovingAvgAMZN,ACNMovingAvgACN,NVDAMovingAvgNVDA,AAPLMovingAvgAAPL,GOOGLMovingAvgGOOGL
2024-03-11 00:00:00+00:00,171.9600067138672,368.6565246582031,85.7596206665039,172.31655883789062,137.3299560546875,28484800,2220000,678364000,60139500,32437800,-1.9332758891648982,-1.3089406876728105,-2.0039323320849456,1.1831586503832536,1.669010687605832,174.56500026157923,372.4220668247768,81.95146070207868,176.81595066615515,137.08270590645927
2024-03-12 00:00:00+00:00,175.38999938964844,375.8277893066406,91.89759063720703,172.7953338623047,138.15789794921875,36610600,1793700,668075000,59825400,27563400,1.9946455814511488,1.9452428395472676,7.157179477941078,0.2778462079575661,0.6028851376035815,175.05071476527624,373.8028346470424,83.69717952183315,176.16829245431083,136.79413386753626
2024-03-13 00:00:00+00:00,176.55999755859375,374.08929443359375,90.87276458740234,170.70062255859375,139.44471740722656,30772600,1635800,635713000,52488700,23347200,0.6670837408158103,-0.46257752154362786,-1.1151827188271901,-1.2122499241675966,0.9314121574727441,175.192143031529,374.32564871651783,84.57943780081612,175.2249526977539,136.48775046212333
2024-03-14 00:00:00+00:00,178.75,373.5855407714844,87.92925262451172,172.56593322753906,142.7465362548828,43705800,1706700,602318000,72913500,42753400,1.2403729449981915,-0.13466134145113662,-3.2391574926275313,1.0927380585885382,2.367833582403711,175.46071406773157,374.38844299316406,85.23152106148856,174.5466581072126,136.42647334507532
2024-03-15 00:00:00+00:00,174.4199981689453,370.0196838378906,87.822265625,172.18687438964844,140.83126831054688,72115500,3865400,642086000,121664700,49460600,-2.4223786467438835,-0.9544954352970869,-0.1216739552746926,-0.2196602949382953,-1.3417263876134289,175.4385713849749,374.18524387904574,85.8563232421875,173.9381877354213,136.6836929321289
2024-03-18 00:00:00+00:00,174.47999572753906,368.11328125,88.44017028808594,173.28411865234375,147.31521606445312,31250700,2164400,668976000,75604200,69273700,0.0343983254349256,-0.5152165333793035,0.7035854275547537,0.6372403625913625,4.604054079530484,175.5057144165039,373.81553649902344,86.55318450927734,173.30335562569755,137.31071036202567
2024-03-19 00:00:00+00:00,175.89999389648438,373.45709228515625,89.38301849365234,175.63821411132812,146.6668243408203,26880900,2062800,672171000,55215200,24070400,0.8138458297320961,1.4516756953213639,1.0660859228280195,1.3585177206616006,-0.44013900325756694,175.70142800467355,373.81906345912387,87.39151872907367,172.92288534981864,138.06954520089286
2024-03-20 00:00:00+00:00,178.14999389648438,375.78826904296875,90.35684967041016,178.22169494628906,148.3726043701172,29947200,2877600,479063000,53423100,21311500,1.2791359170393646,0.6242154201834049,1.089503569212047,1.470910443967166,1.1630305878397085,175.80071367536272,374.2184055873326,88.19593484061105,172.7746865408761,138.80201721191406
2024-03-21 00:00:00+00:00,178.14999389648438,340.8112487792969,91.41967010498047,170.94000244140625,147.2354278564453,32824300,9574800,480372000,106181300,24755600,0.0,-9.307640271142281,1.1762477758433532,-4.085749777588699,-0.766432939894468,175.79571315220423,371.6812438964844,88.85010092599052,172.18402862548828,139.5473153250558
2024-03-22 00:00:00+00:00,178.8699951171875,333.373291015625,94.273193359375,171.84771728515625,150.39759826660156,27964100,5899300,586719000,71106600,29175700,0.40415450203241665,-2.182427308462631,3.1213449481033217,0.5310137070233978,2.147696689712042,175.88785552978516,368.420889718192,89.49684960501534,171.9831041608538,140.78852735246932
